# Twitter's User Object definition, as of 2017-10-24
# https://developer.twitter.com/en/docs/tweets/data-dictionary/overview/user-object
id Long
id_str String
name String
screen_name String
location String
url String
description String
derived Map<String,List<?>>
protected Boolean isProtected
verified Boolean
followers_count Integer
friends_count Integer
listed_count Integer
favourites_count Integer
statuses_count Integer
created_at String # e.g. "created_at": "Mon Nov 29 21:18:15 +0000 2010"
utf_offset Integer # e.g. -36000
time_zone String # e.g. "Adelaide, South Australia"
geo_enabled Boolean
lang String # e.g. "en", "de"
contributors_enabled Boolean
profile_background_color String
profile_background_image_url String
profile_background_image_url_https String
profile_background_tile Boolean
profile_banner_url String
profile_image_url String
profile_image_url_https String
profile_link_color String # e.g. "profile_link_color": "0094C2"
profile_sidebar_border_color String
profile_sidebar_fill_color String
profile_text_color String
profile_use_background_image Boolean
default_profile Boolean
default_profile_image Boolean
withheld_in_countries String # e.g., "GR, HK, MY"
withheld_scope String # e.g., "user" or "status"
